imposto	areat	areac	idade	preco
491.76	3472.0	998	42	25900
502.08	3531.0	1500	62	29500
454.29	2275.0	1175	40	27900
455.73	4050.0	1232	54	25900
505.97	4455.0	1121	42	29900
389.10	4455.0	988	56	29900
589.80	5850.0	1240	51	30900
560.39	9520.0	1501	32	28900
1542.02	9800.0	3420	42	84900
1445.98	12800.0	3000	14	82900
582.82	6435.0	1225	32	35900
530.03	4988.3	1552	30	31500
627.12	5520.0	975	30	31000
595.92	6666.0	1121	32	30900
505.00	5000.0	1020	46	30000
824.64	5150.0	1664	50	36900
669.69	6902.0	1488	22	41900
778.41	7102.0	1376	17	40500
903.84	7800.0	1500	23	43900
598.94	5520.0	1256	40	37500
754.22	4000.0	1690	22	37900
879.51	9890.0	1820	50	44500
609.31	6726.5	1652	44	37900
836.07	9150.0	1777	48	38900
814.00	8000.0	1504	3	36900
914.16	7326.2	1831	31	45800
1200.00	5000.0	1200	30	41000
